Feature Set,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Sensitivity,Specificity,TN,FP,FN,TP
clinical,CART,0.6604343448870991,0.15692554043234588,0.6058732612055642,0.2492845786963434,0.6779402458148099,0.1610534256142902,0.6058732612055642,0.6660323501427212,4200,2106,255,392
clinical,Logistic Regression,0.7107723284912987,0.17951127819548873,0.5904173106646059,0.27531531531531533,0.7235855452303466,0.21641149505613166,0.5904173106646059,0.7231208372978116,4560,1746,265,382
clinical,Random Forest,0.7504674241334676,0.18445475638051045,0.49149922720247297,0.26824124841838887,0.7001859321928381,0.1857510045663411,0.49149922720247297,0.7770377418331748,4900,1406,329,318
clinical,Gradient Boosting,0.7319142816050626,0.1858544140423335,0.5564142194744977,0.2786377708978328,0.7067219904401538,0.19403424627755927,0.5564142194744977,0.7499207104345068,4729,1577,287,360
clinical,MARS,0.7299007622608946,0.18025974025974026,0.5363214837712519,0.2698289269051322,0.7047697759450899,0.1965950239636531,0.5363214837712519,0.7497621313035204,4728,1578,300,347
topic,CART,0.5256723716381418,0.09723488301428138,0.4945904173106646,0.16251904520060945,0.5043089650885715,0.09487533948336976,0.4945904173106646,0.5288614018395179,3335,2971,327,320
topic,Logistic Regression,0.6269236300877319,0.12398609501738123,0.49613601236476046,0.1983930778739184,0.5855239067231179,0.1253687721106006,0.49613601236476046,0.6403425309229306,4038,2268,326,321
topic,Random Forest,0.601323169854739,0.09646790733004178,0.39258114374034003,0.1548780487804878,0.5245594220758818,0.09991211520169926,0.39258114374034003,0.6227402473834444,3927,2379,393,254
topic,Gradient Boosting,0.6075075506975406,0.09713622291021672,0.38794435857805254,0.15536985453419994,0.5345929222236765,0.10250943355402291,0.38794435857805254,0.630034887408817,3973,2333,396,251
topic,MARS,0.5863655975837768,0.11207796728158718,0.49768160741885625,0.18295454545454545,0.5658461238309385,0.11730846169911763,0.49768160741885625,0.59546463685379,3755,2551,325,322
combined,CART,0.6883359700848555,0.14452759588400374,0.4775888717156105,0.22190305206463196,0.6491279863489594,0.13765764560045918,0.4775888717156105,0.7099587694259435,4477,1829,338,309
combined,Logistic Regression,0.7260175463828563,0.19075712881022616,0.5996908809891809,0.2894442372249161,0.7402209127393209,0.235557759075297,0.5996908809891809,0.7389787503964478,4660,1646,259,388
combined,Random Forest,0.7892995829138502,0.1887366818873668,0.38330757341576505,0.25293217746047936,0.6884826942863964,0.16728767237188533,0.38330757341576505,0.8309546463685379,5240,1066,399,248
combined,Gradient Boosting,0.7677261613691931,0.18283093053735255,0.4312210200927357,0.2567878508973769,0.6924493784531403,0.1796638103244689,0.4312210200927357,0.8022518236600064,5059,1247,368,279
combined,MARS,0.7664317560765137,0.19487820112429732,0.482225656877898,0.2775800711743772,0.7096001894126004,0.19624520345924462,0.482225656877898,0.7955915001585792,5017,1289,335,312
